location,hits,keyword
United Kingdom,10,Nocturnal Animals
Ireland,10,Nocturnal Animals
Belgium,9,Nocturnal Animals
Luxembourg,NA,Nocturnal Animals
Netherlands,7,Nocturnal Animals
Cyprus,NA,Nocturnal Animals
Slovenia,NA,Nocturnal Animals
Portugal,4,Nocturnal Animals
Lithuania,NA,Nocturnal Animals
Sweden,3,Nocturnal Animals
Greece,3,Nocturnal Animals
Latvia,NA,Nocturnal Animals
Bulgaria,3,Nocturnal Animals
Denmark,2,Nocturnal Animals
Hungary,2,Nocturnal Animals
France,2,Nocturnal Animals
Austria,2,Nocturnal Animals
Slovakia,NA,Nocturnal Animals
Germany,1,Nocturnal Animals
Romania,1,Nocturnal Animals
Finland,NA,Nocturnal Animals
Spain,1,Nocturnal Animals
Poland,1,Nocturnal Animals
Italy,1,Nocturnal Animals
Estonia,NA,Nocturnal Animals
United Kingdom,80,X-Men  Apocalypse
Ireland,60,X-Men  Apocalypse
Romania,50,X-Men  Apocalypse
Hungary,50,X-Men  Apocalypse
Bulgaria,40,X-Men  Apocalypse
Netherlands,40,X-Men  Apocalypse
France,40,X-Men  Apocalypse
Denmark,30,X-Men  Apocalypse
Belgium,30,X-Men  Apocalypse
Malta,NA,X-Men  Apocalypse
Poland,30,X-Men  Apocalypse
Austria,30,X-Men  Apocalypse
Lithuania,NA,X-Men  Apocalypse
Finland,20,X-Men  Apocalypse
Germany,20,X-Men  Apocalypse
Greece,20,X-Men  Apocalypse
Sweden,20,X-Men  Apocalypse
Latvia,NA,X-Men  Apocalypse
Portugal,20,X-Men  Apocalypse
Slovenia,NA,X-Men  Apocalypse
Slovakia,20,X-Men  Apocalypse
Italy,20,X-Men  Apocalypse
Luxembourg,NA,X-Men  Apocalypse
Spain,10,X-Men  Apocalypse
Croatia,NA,X-Men  Apocalypse
Cyprus,NA,X-Men  Apocalypse
Estonia,NA,X-Men  Apocalypse
Denmark,65,Deadpool
France,59,Deadpool
United Kingdom,57,Deadpool
Hungary,53,Deadpool
Ireland,40,Deadpool
Slovakia,36,Deadpool
Poland,36,Deadpool
Cyprus,NA,Deadpool
Malta,NA,Deadpool
Spain,31,Deadpool
Germany,28,Deadpool
Luxembourg,NA,Deadpool
Italy,25,Deadpool
Estonia,NA,Deadpool
Portugal,25,Deadpool
Belgium,25,Deadpool
Sweden,24,Deadpool
Bulgaria,24,Deadpool
Lithuania,NA,Deadpool
Croatia,22,Deadpool
Latvia,NA,Deadpool
Austria,21,Deadpool
Romania,21,Deadpool
Greece,19,Deadpool
Netherlands,19,Deadpool
Finland,16,Deadpool
Slovenia,NA,Deadpool
Slovenia,58,Resident Evil  The Final Chapter
Estonia,NA,Resident Evil  The Final Chapter
